식당ID,식당명,업종(메뉴)정보,테이크아웃여부,예약가능여부,선결제여부,지번주소,식당면적,식당위도,식당경도,어워드_글로벌,어워드_로컬,트립어드바이저 인기도,씨트립 인기도,네이버 인기도,RTI 인덱스,온라인화 진행 여부,다국어메뉴판 제공 여부,수용태세 지수,좌석수(입식),좌석수(좌식),베리어프리여부,반려동물출입가능여부,주차가능여부,식당 홈페이지,등록일시,영업시간정보,휴식시간정보
2819,일등낙지 전주본점,낙지,Y,Y,N,전라북도 전주시 완산구 효자동3가 1534-6,0,35.8161239,127.1083255,,,0,0,5,2.34,Y,Y,3.46,72,72,N,N,Y,http://instagram.com/no.1nakji_official,2020-11-23 1:30,FRI:16:00~01:00\nMON:16:00~01:00\nSAT:16:00~01:00\nSUN:16:00~01:00\nTHU:16:00~01:00\nTUE:16:00~01:00\nWED:16:00~01:00\nFRI:16:00~01:00\nMON:16:00~01:00\nSAT:16:00~01:00\nSUN:16:00~01:00\nTHU:16:00~01:00\nTUE:16:00~01:00\nWED:16:00~01:00\nFRI:16:00~01:00\nMON:16:00~01:00\nSAT:16:00~01:00\nSUN:16:00~01:00\nTHU:16:00~01:00\nTUE:16:00~01:00\nWED:16:00~01:00,
15336,팔레티,카페,Y,N,N,전라북도 전주시 완산구 다가동4가 120,0,35.8198644,127.1382796,,,0,0,5,2.42,Y,Y,2.59,9,9,N,N,N,,2020-11-05 14:01,MON:00:00~22:00\nMON:00:00~22:00\nMON:00:00~22:00,
23996,다가생구이 본점,육류,N,Y,N,전라북도 전주시 완산구 고사동 462-9,51.48,35.8185493,127.1410306,,,0,0,5,2.68,Y,Y,3.3,0,0,N,N,Y,,2021-01-19 15:57,FRI:17:00~12:00\nMON:17:00~12:00\nSAT:17:00~12:00\nSUN:17:00~12:00\nTHU:17:00~12:00\nTUE:17:00~12:00\nWED:17:00~12:00\nFRI:17:00~12:00\nMON:17:00~12:00\nSAT:17:00~12:00\nSUN:17:00~12:00\nTHU:17:00~12:00\nTUE:17:00~12:00\nWED:17:00~12:00\nFRI:17:00~12:00\nMON:17:00~12:00\nSAT:17:00~12:00\nSUN:17:00~12:00\nTHU:17:00~12:00\nTUE:17:00~12:00\nWED:17:00~12:00,
30843,상무초밥 전주도청직영점,초밥,Y,Y,N,전라북도 전주시 완산구 효자동3가 1525-2,0,35.8182318,127.1064552,,,0,0,5,1.83,Y,Y,3.7,74,74,Y,N,Y,http://sangmusushi.kr/,2020-11-16 19:46,FRI:11:30~23:00\nMON:11:30~23:00\nSAT:11:30~23:00\nSUN:11:30~23:00\nTHU:11:30~23:00\nTUE:11:30~23:00\nWED:11:30~23:00\nFRI:11:30~23:00\nMON:11:30~23:00\nSAT:11:30~23:00\nSUN:11:30~23:00\nTHU:11:30~23:00\nTUE:11:30~23:00\nWED:11:30~23:00\nFRI:11:30~23:00\nMON:11:30~23:00\nSAT:11:30~23:00\nSUN:11:30~23:00\nTHU:11:30~23:00\nTUE:11:30~23:00\nWED:11:30~23:00,
46163,이치류양심,육류,N,Y,N,전라북도 전주시 완산구 효자동2가 1236-2,85,35.8173268,127.1043101,,,0,0,5,1.87,Y,Y,3.15,20,20,N,N,Y,http://www.instagram.com/lamb_chooo,2020-11-10 15:30,FRI:17:00~23:00\nMON:17:00~23:00\nSAT:17:00~23:00\nTHU:17:00~23:00\nTUE:17:00~23:00\nWED:17:00~23:00\nFRI:17:00~23:00\nMON:17:00~23:00\nSAT:17:00~23:00\nTHU:17:00~23:00\nTUE:17:00~23:00\nWED:17:00~23:00\nFRI:17:00~23:00\nMON:17:00~23:00\nSAT:17:00~23:00\nTHU:17:00~23:00\nTUE:17:00~23:00\nWED:17:00~23:00,
49634,편백집 전주객사점,육류,N,Y,N,전라북도 전주시 완산구 고사동 243-1,0,35.8213725,127.1431264,,,0,0,5,2.68,Y,Y,3.57,64,64,Y,N,Y,http://www.globaltable.co.kr,2020-11-18 1:14,FRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00\nFRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00\nFRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00,"오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시"
62358,호맥,맥주,N,Y,N,전라북도 전주시 완산구 다가동4가 57-3,0,35.8198308,127.1397893,,,0,0,5,2.48,Y,Y,2.97,0,0,N,N,Y,,2020-12-24 14:45,MON:17:00~03:00\nMON:17:00~03:00\nMON:17:00~03:00,
64855,그랑삐아또 중화산본점,이탈리아음식,Y,Y,N,전라북도 전주시 완산구 중화산동1가 303-1,436.98,35.8130502,127.1331042,,,0,0,5,2.52,Y,Y,3.57,132,132,Y,N,Y,http://blog.naver.com/gran0066,2020-10-15 21:28,FRI:11:30~21:00\nSAT:11:30~21:00\nSUN:11:30~21:00\nTHU:11:30~21:00\nTUE:11:30~21:00\nWED:11:30~21:00\nFRI:11:30~21:00\nSAT:11:30~21:00\nSUN:11:30~21:00\nTHU:11:30~21:00\nTUE:11:30~21:00\nWED:11:30~21:00\nFRI:11:30~21:00\nSAT:11:30~21:00\nSUN:11:30~21:00\nTHU:11:30~21:00\nTUE:11:30~21:00\nWED:11:30~21:00,"14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30"
68940,오원집 본점,한식,Y,Y,N,전라북도 전주시 완산구 태평동 10-9,128.92,35.8261054,127.1409612,,,0,0,5,2.43,Y,Y,3.46,54,54,N,N,Y,,2020-12-24 18:40,FRI:16:30~04:00\nMON:16:30~04:00\nSAT:16:30~04:00\nSUN:16:30~04:00\nTHU:16:30~04:00\nTUE:16:30~04:00\nWED:16:30~04:00\nFRI:16:30~04:00\nMON:16:30~04:00\nSAT:16:30~04:00\nSUN:16:30~04:00\nTHU:16:30~04:00\nTUE:16:30~04:00\nWED:16:30~04:00\nFRI:16:30~04:00\nMON:16:30~04:00\nSAT:16:30~04:00\nSUN:16:30~04:00\nTHU:16:30~04:00\nTUE:16:30~04:00\nWED:16:30~04:00,
79381,고궁 전주본점,한식,Y,Y,N,전라북도 전주시 덕진구 덕진동2가 168-9,1035,35.8500956,127.1193921,,,0,0,5,2.14,Y,Y,3.7,80,80,Y,N,Y,https://jeonjugogung.modoo.at,2020-11-25 15:53,FRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00,
84510,해태바베큐,치킨,Y,Y,N,전라북도 전주시 완산구 경원동2가 7-6,22.44,35.8184069,127.1487413,,,0,0,5,2.32,Y,Y,3.1,46,46,N,N,N,,2020-11-06 22:31,FRI:10:00~23:00\nSAT:10:00~23:00\nSUN:10:00~23:00\nTHU:10:00~23:00\nTUE:10:00~23:00\nWED:10:00~23:00\nFRI:10:00~23:00\nSAT:10:00~23:00\nSUN:10:00~23:00\nTHU:10:00~23:00\nTUE:10:00~23:00\nWED:10:00~23:00\nFRI:10:00~23:00\nSAT:10:00~23:00\nSUN:10:00~23:00\nTHU:10:00~23:00\nTUE:10:00~23:00\nWED:10:00~23:00,
92276,라리코,뷔페,N,Y,N,전라북도 전주시 완산구 효자동2가 1332-1,0,35.8081665,127.1051227,,,0,0,5,2.49,Y,Y,2.84,0,0,N,N,Y,http://larico.co.kr,2020-12-04 17:31,MON:11:30~22:00\nMON:11:30~22:00\nMON:11:30~22:00,"15:50-17:30,15:50-17:30,15:50-17:30"
96770,온리핸즈,양식,Y,Y,N,전라북도 전주시 완산구 다가동4가 10-7,0,35.8206681,127.1381574,,,0,0,5,1.88,Y,Y,2.99,15,15,N,N,N,http://blog.naver.com/onlyhands,2020-11-06 15:03,MON:16:00~02:00\nMON:16:00~02:00\nMON:16:00~02:00,
102244,카페 프로바이더,카페,Y,Y,N,전라북도 전주시 덕진구 덕진동1가 1263-22,0,35.8425956,127.1275774,,,0,0,5,2.5,Y,Y,3.22,76,76,N,N,N,https://www.instagram.com/cafeprovider,2020-11-19 22:53,FRI:09:00~22:30\nMON:09:00~22:30\nSAT:09:00~22:30\nSUN:10:00~22:30\nTHU:09:00~22:30\nTUE:10:00~22:30\nWED:09:00~22:30\nFRI:09:00~22:30\nMON:09:00~22:30\nSAT:09:00~22:30\nSUN:10:00~22:30\nTHU:09:00~22:30\nTUE:10:00~22:30\nWED:09:00~22:30\nFRI:09:00~22:30\nMON:09:00~22:30\nSAT:09:00~22:30\nSUN:10:00~22:30\nTHU:09:00~22:30\nTUE:10:00~22:30\nWED:09:00~22:30,
105196,현대옥 남부시장점,국밥,N,N,N,전라북도 전주시 완산구 전동3가 2-242,0,35.8125161,127.1463017,,,0,0,5,2.37,Y,Y,2.5,0,0,N,N,Y,http://www.hyundaiok.com/,2020-12-03 17:17,MON:10:00~22:00\nMON:10:00~22:00\nMON:10:00~22:00,
