"고유번호","관측소코드","관측소명","주소","평균기온","경도","위도"
"1","509.00000000","관악","서울특별시 관악구 신림동 산56-1 (서울대학교)","12.20684600","126.9502188","37.4528634"
"2","417.00000000","금천","서울특별시 금천구 독산동 1034 (독산초등학교)","13.41160600","126.9141209","37.4603141"
"3","401.00000000","서초","서울특별시 서초구 서초동 1650 (서울교육대학교)","14.37777000","127.0179133","37.4828143"
"4","423.00000000","구로","서울특별시 구로구 궁동 213-42 (수궁동사무소)","13.23256100","126.8312293","37.4861128"
"5","410.00000000","기상청","서울특별시 동작구 신대방동 460-18 (기상청)","13.82586000","126.920722","37.4963142"
"6","403.00000000","송파","서울특별시 송파구 잠실동 40-1 (롯데월드)","14.31501800","127.0983106","37.5110096"
"7","400.00000000","강남","서울특별시 강남구 삼성동 42 (삼릉초등학교)","14.11238300","127.0464123","37.5122075"
"8","415.00000000","용산","서울특별시 용산구 이촌동 301-75 (신용산초등학교)","14.29836400","126.9754162","37.5196055"
"9","418.00000000","한강","서울특별시 영등포구 여의도동 85-1 (세모유람선)","14.19815400","126.9373233","37.5241055"
"10","405.00000000","양천","서울특별시 양천구 목동 915 (목동주차장)","14.45717700","126.8772291","37.5268081"
"11","510.00000000","영등포","서울특별시 영등포구 당산동 121-22 (영동초등학교)","14.46743900","126.9059224","37.5290091"
"12","413.00000000","광진","서울특별시 광진구 화양동 93-1 (건국대학교)","14.32033300","127.0770084","37.5407037"
"13","411.00000000","마포","서울특별시 마포구 망원동 211-42 (마포제2빗물펌프장","14.24923300","126.9321232","37.5459012"
"14","421.00000000","성동","서울특별시 성동구 성수동1가 684-14 (성수중학교)","14.07652500","127.0385114","37.5478027"
"15","404.00000000","강서","서울특별시 강서구 화곡동 산60-1 (정보기능대학)","13.53690300","126.8479308","37.5528023"
"16","402.00000000","강동","서울특별시 강동구 고덕동 317-1 (종합직업학교)","13.01143300","127.1463026","37.554706"
"17","419.00000000","중구","서울특별시 중구 회현동1가 산1-19 (한국삭도(주))","12.01558300","126.9843189","37.5562988"
"18","412.00000000","서대문","서울특별시 서대문구 신촌동 134 (연세대학교)","13.11524000","126.9445225","37.5703995"
"19","408.00000000","동대문","서울특별시 동대문구 전농동 90 (서울시립대)","14.31840400","127.0480106","37.5799984"
"20","409.00000000","중랑","서울특별시 중랑구 면목동 551 (면동초등학교)","14.00347100","127.0868052","37.5862996"
"21","416.00000000","은평","서울특별시 은평구 불광동 280-17 (국립환경연구원)","13.36745900","126.9336226","37.6111958"
"22","414.00000000","성북","서울특별시 성북구 정릉동 861-1 (국민대학교)","13.15424700","126.9972197","37.613296"
"23","420.00000000","북한산","서울특별시 종로구 구기동 산1 (승가사)","10.74720600","126.9544188","37.6182946"
"24","407.00000000","노원","서울특별시 노원구 공릉동 230-3 (육군사관학교)","12.77286000","127.0873044","37.6221956"
"25","424.00000000","강북","서울특별시 강북구 수유동 192-49 (강북구청 본관)","14.13715500","126.9996128","37.6360933"
"26","406.00000000","도봉","서울특별시 도봉구 방학동 310 (신방학초등학교)","12.94903200","127.0331096","37.6660907"
"27","108.00000000","서울","서울특별시 종로구 송월동 1번지 (서울기상대)","13.28274000","126.9635149","37.5741861"
